----------------------------------------
Begin Torque Prologue (Mon May  4 13:07:20 2020)
Job ID:           10847702.cc-mgmt1.campuscluster.illinois.edu
Username:         stv3
Group:            sp20-cs543r-eng
Job Name:         vanilla_script
Limits:           walltime=04:00:00,nodes=1:ppn=16:P100,neednodes=1:ppn=16:P100
Job Queue:        eng-instruction
Account:          eng-instruction
Nodes:            ccc0058
End Torque Prologue
----------------------------------------
/home/stv3/.conda/envs/cv/lib/python3.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='elementwise_mean' instead.
  warnings.warn(warning.format(ret))
2020-05-04 13:08:38,554 : Train time 00h 01m 11s Batch 81 CEloss 1.728762149810791
2020-05-04 13:08:39,368 : Train time 00h 01m 12s Batch 82 CEloss 1.514627456665039
2020-05-04 13:08:40,253 : Train time 00h 01m 13s Batch 83 CEloss 1.6558105945587158
2020-05-04 13:08:41,073 : Train time 00h 01m 14s Batch 84 CEloss 1.5228233337402344
2020-05-04 13:08:41,951 : Train time 00h 01m 14s Batch 85 CEloss 1.53480863571167
2020-05-04 13:08:42,818 : Train time 00h 01m 15s Batch 86 CEloss 1.5228248834609985
2020-05-04 13:08:43,673 : Train time 00h 01m 16s Batch 87 CEloss 1.5862376689910889
2020-05-04 13:08:44,451 : Train time 00h 01m 17s Batch 88 CEloss 1.5798722505569458
2020-05-04 13:08:45,255 : Train time 00h 01m 18s Batch 89 CEloss 1.4665862321853638
2020-05-04 13:08:46,133 : Train time 00h 01m 19s Batch 90 CEloss 1.326289176940918
2020-05-04 13:08:47,041 : Train time 00h 01m 19s Batch 91 CEloss 1.7705084085464478
2020-05-04 13:08:47,880 : Train time 00h 01m 20s Batch 92 CEloss 1.366573452949524
2020-05-04 13:08:48,791 : Train time 00h 01m 21s Batch 93 CEloss 1.6672797203063965
2020-05-04 13:08:49,632 : Train time 00h 01m 22s Batch 94 CEloss 1.500241756439209
2020-05-04 13:08:50,510 : Train time 00h 01m 23s Batch 95 CEloss 1.2741714715957642
2020-05-04 13:08:51,405 : Train time 00h 01m 24s Batch 96 CEloss 1.4370558261871338
2020-05-04 13:08:52,180 : Train time 00h 01m 25s Batch 97 CEloss 1.2617627382278442
2020-05-04 13:08:53,009 : Train time 00h 01m 25s Batch 98 CEloss 1.2329174280166626
2020-05-04 13:08:53,837 : Train time 00h 01m 26s Batch 99 CEloss 1.5028915405273438
2020-05-04 13:08:54,646 : Train time 00h 01m 27s Batch 100 CEloss 1.2747546434402466
2020-05-04 13:08:55,506 : Train time 00h 01m 28s Batch 101 CEloss 1.4327775239944458
2020-05-04 13:08:56,371 : Train time 00h 01m 29s Batch 102 CEloss 1.3782416582107544
2020-05-04 13:08:57,332 : Train time 00h 01m 30s Batch 103 CEloss 1.3862100839614868
2020-05-04 13:08:58,202 : Train time 00h 01m 31s Batch 104 CEloss 1.291311264038086
2020-05-04 13:08:59,066 : Train time 00h 01m 32s Batch 105 CEloss 1.2397249937057495
2020-05-04 13:08:59,935 : Train time 00h 01m 32s Batch 106 CEloss 1.4363603591918945
2020-05-04 13:09:00,836 : Train time 00h 01m 33s Batch 107 CEloss 1.3636868000030518
2020-05-04 13:09:01,686 : Train time 00h 01m 34s Batch 108 CEloss 1.6093394756317139
2020-05-04 13:09:02,559 : Train time 00h 01m 35s Batch 109 CEloss 1.1744027137756348
2020-05-04 13:09:03,423 : Train time 00h 01m 36s Batch 110 CEloss 1.3240975141525269
2020-05-04 13:09:04,345 : Train time 00h 01m 37s Batch 111 CEloss 1.3687560558319092
2020-05-04 13:09:05,183 : Train time 00h 01m 38s Batch 112 CEloss 1.257118821144104
2020-05-04 13:09:06,061 : Train time 00h 01m 39s Batch 113 CEloss 1.1874794960021973
